Player,Balls Bowled
Harbhajan Singh,2742
P Kumar,2529
PP Chawla,2472
A Mishra,2466
SL Malinga,2407
R Ashwin,2359
DW Steyn,2159
R Vinay Kumar,2141
DJ Bravo,2110
IK Pathan,2101
Z Khan,2030
PP Ojha,1945
RP Singh,1874
A Nehra,1842
JA Morkel,1807
JH Kallis,1799
SR Watson,1796
RA Jadeja,1733
B Kumar,1730
UT Yadav,1729
M Morkel,1699
R Bhatia,1618
I Sharma,1599
SP Narine,1594
M Muralitharan,1581
L Balaji,1574
SK Trivedi,1557
AB Dinda,1524
DS Kulkarni,1367
MM Patel,1340
MM Sharma,1289
KA Pollard,1264
SK Warne,1223
M Kartik,1182
YK Pathan,1142
JP Faulkner,1123
SB Jakati,1069
MG Johnson,1043
S Nadeem,1027
AR Patel,986
A Kumble,983
YS Chahal,948
S Sreesanth,947
R Sharma,935
Shakib Al Hasan,929
B Lee,916
MS Gony,910
Iqbal Abdulla,909
Sandeep Sharma,875
RJ Harris,865
KV Sharma,857
Yuvraj Singh,857
CH Morris,853
SK Raina,852
AB Agarkar,820
DL Vettori,785
AD Mathews,776
VR Aaron,775
P Awana,774
MC Henriques,770
PJ Sangwan,727
JD Unadkat,716
NLTC Perera,715
JJ Bumrah,711
J Botha,709
DP Nannes,689
JP Duminy,683
HV Patel,682
PV Tambe,674
AD Russell,651
MJ McClenaghan,637
TG Southee,625
MA Starc,612
WD Parnell,601
DE Bollinger,600
KK Cooper,600
S Aravind,598
CH Gayle,579
Harmeet Singh,574
Azhar Mahmood,552
A Symonds,540
SW Tait,534
STR Binny,517
R Dhawan,513
DT Christian,498
A Singh,486
DR Smith,475
IC Pandey,469
GB Hogg,466
Mohammed Shami,455
RE van der Merwe,455
Imran Tahir,448
RR Powar,443
MF Maharoof,441
P Negi,439
NM Coulter-Nile,408
Anureet Singh,394
BW Hilfenhaus,390
Mustafizur Rahman,376
R McLaren,372
VRV Singh,371
JR Hopes,369
Ankit Sharma,363
AN Ahmed,362
VY Mahesh,359
RG Sharma,342
Bipul Sharma,336
GD McGrath,329
MR Marsh,327
AC Thomas,327
LR Shukla,326
KW Richardson,326
DJ Hussey,323
BB Sran,312
A Mithun,312
Pankaj Singh,311
AD Mascarenhas,310
SJ Srivastava,306
BA Bhatt,303
ST Jayasuriya,301
D Wiese,289
WPUJC Vaas,288
SM Pollock,280
SC Ganguly,280
R Rampaul,278
TM Dilshan,275
Joginder Sharma,272
A Ashish Reddy,270
AG Murtaza,269
Sohail Tanvir,265
V Kohli,264
AA Chavan,255
J Suchith,253
CRD Fernando,249
BAW Mendis,248
DJG Sammy,244
JDP Oram,244
JD Ryder,241
AM Nayar,239
BJ Hodge,238
J Theron,235
A Chandila,234
JO Holder,228
Y Venugopal Rao,222
SB Styris,222
KP Appanna,222
YA Abdulla,222
S Tyagi,220
GJ Maxwell,219
S Kaul,215
HH Pandya,213
M Ntini,213
Karanveer Singh,213
RS Bopara,213
VS Malik,212
V Pratap Singh,211
TA Boult,207
MN Samuels,201
Parvez Rasool,200
Mohammad Asif,199
J Syed Mohammad,196
SMSM Senanayake,195
KH Pandya,194
B Akhil,193
SE Bond,191
AB McDonald,188
Shahid Afridi,185
CJ Jordan,181
KP Pietersen,180
S Randiv,180
Kamran Khan,177
DJ Hooda,177
M Ashwin,176
CK Langeveldt,165
Anand Rajan,162
P Parameswaran,159
DP Vijaykumar,159
BE Hendricks,157
AM Salvi,156
JEC Franklin,155
PC Valthaty,153
SB Bangar,153
Umar Gul,153
TL Suman,152
FH Edwards,150
J Yadav,146
R Sathish,144
RR Raje,144
T Thushara,144
CR Brathwaite,143
S Kaushik,142
S Ladda,141
MP Stoinis,140
V Sehwag,138
CJ Anderson,138
P Amarnath,132
R Shukla,130
JE Taylor,122
KC Cariappa,117
M de Lange,116
S Gopal,116
Shivam Sharma,114
AL Menaria,113
S Narwal,113
S Badree,112
Jaskaran Singh,111
SB Wagh,108
P Sahu,107
KMDN Kulasekara,107
P Suyal,107
A Zampa,103
Shoaib Ahmed,103
KJ Abbott,102
Sandeep Sharma (1),98
AS Rajpoot,97
RV Gomez,97
T Shamsi,96
BCJ Cutting,92
PD Collingwood,90
PJ Cummins,90
AA Jhunjhunwala,88
DJ Muthuswami,84
Gagandeep Singh,84
RN ten Doeschate,83
Gurkeerat Singh,82
JJ van der Wath,76
LJ Wright,75
WA Mota,75
Kuldeep Yadav,74
TP Sudhindra,74
R Tewatia,73
AP Dole,73
Y Nagar,72
DNT Zoysa,69
K Goel,67
SM Harwood,67
A Flintoff,66
MJ Clarke,66
Mohammad Hafeez,63
JW Hastings,61
Shoaib Malik,58
ND Doshi,57
JDS Neesham,57
K Upadhyay,56
AC Voges,56
SB Joshi,55
KAJ Roach,52
K Santokie,51
D Salunkhe,51
C Nanda,50
D Kalyankrishna,50
S Dhawan,49
B Geeves,49
RJ Peterson,48
GS Sandhu,48
JM Kemp,47
CL White,46
Shoaib Akhtar,46
B Laughlin,45
L Ablish,45
DJ Thornely,44
AJ Finch,44
D du Preez,43
SM Boland,43
M Manhas,42
CJ McKay,42
AUK Pathan,41
Shami Ahmed,39
SD Chitnis,38
MK Tiwary,38
A Uniyal,38
RG More,37
M Vijay,37
GH Vihari,37
SR Tendulkar,37
R Ninan,36
T Henderson,36
DL Chahar,33
VS Yeligati,32
SA Abbott,32
PM Sarvesh Kumar,31
BMAJ Mendis,30
AS Raut,30
MA Khote,30
NL McCullum,30
Mashrafe Mortaza,28
AF Milne,25
AA Noffke,25
DAJ Bracewell,25
SS Sarkar,25
MG Neser,25
GR Napier,24
B Brainder Sran,20
SN Thakur,20
MB Parmar,19
Sunny Gupta,19
RW Price,18
Swapnil Singh,18
A Nel,18
DJ Harris,18
S Sriram,18
LMP Simmons,18
NJ Rimmington,18
DB Ravi Teja,18
CK Kapugedera,17
S Rana,16
Abdur Razzak,14
LRPL Taylor,13
AA Kazi,13
S Vidyut,13
C Munro,12
RR Bose,12
FY Fazal,12
RR Bhatkal,12
Sachin Baby,10
LA Carseldine,7
SS Mundhe,7
BJ Rohrer,7
SA Yadav,6
LPC Silva,6
N Rana,6
RA Shaikh,6
I Malhotra,6
AM Rahane,6
P Prasanth,6
RS Gavaskar,6
Y Gnaneswara Rao,6
KS Williamson,6
F du Plessis,6
B Chipli,6
V Shankar,6
C Ganapathy,6
SPD Smith,2
AC Gilchrist,1
